unit,source_path,retention_class,surface_scope,reviewed_source_identities,retained_source_identities,retained_physical_bodies,modified_or_interior,bringup_linkage,evidence
directdraw,sgp/DirectDraw Calls.c,partial,all-emitted,30,13,13,0,evidence-only,"Thirteen exact bodies survive; seventeen emitted functions are absent or stripped"
random,sgp/Random.c,whole,all-emitted,3,3,3,0,direct-object,"InitializeRandom, Random, and Chance are the complete emitted Wizardry surface and all three are exact"
compression,sgp/Compression.c,partial,all-emitted,9,5,5,0,evidence-only,"The five decompression-side bodies survive; four compression-side bodies were stripped"
fileman,sgp/FileMan.c,partial,all-emitted,43,15,15,2,evidence-only,"Fifteen bodies are exact and two reviewed functions contain Wizardry modifications"
librarydatabase,sgp/LibraryDataBase.c,partial,all-emitted,23,4,4,2,evidence-only,"Four bodies are exact and two reviewed functions use Wizardry's extended library state"
dbman,sgp/DbMan.c,empty,all-emitted,20,0,0,1,evidence-only,"No complete source function is accepted; DbExists occurs only inside a larger Wizardry function"
container,sgp/Container.c,partial,all-emitted,32,12,10,0,evidence-only,"Twelve retained source identities fold to ten physical bodies; twenty source identities were stripped"
debug,sgp/DEBUG.C,partial,all-emitted,15,2,2,0,evidence-only,"String and _NO_DEBUG_TXT-profile DbgInitialize are retained; the remainder is stripped, generic, or rejected"
exceptionhandling,sgp/ExceptionHandling.cpp,empty,all-emitted,0,0,0,0,evidence-only,"The Wizardry branch intentionally compiles to no code"
sgp,sgp/sgp.c,partial,selected-retained,8,3,3,5,runtime-object,"InitializeStandardGamingPlatform, GetRuntimeSettings and ProcessCommandLine are retained; WindowProcedure, SGPExit and WinMain have reviewed product deltas; ShutdownStandardGamingPlatform and RunSetup survive only inlined"
timer,sgp/timer.c,whole,all-emitted,6,6,6,0,direct-object,"All six emitted timer functions are retained"
input,sgp/input.c,partial,selected-retained,8,8,8,0,evidence-only,"Only the eight retained hook and queue functions are configured; the broader object is not linked"
mouse,sgp/mousesystem.c,partial,all-emitted,39,20,20,0,runtime-object,"Twenty source-owned mouse bodies are retained, including the released Wizardry RenderFastHelp branch; other functions are stripped or unresolved"
font,sgp/Font.c,partial,all-emitted,42,21,21,0,runtime-object,"Twenty-one Font bodies have unique source matches in every comparable build, including palette setup, font loading and formatted printing; CreateEnglishTransTable is a 252-symbol product override"
soundman,sgp/soundman.c,partial,all-emitted,91,12,12,4,direct-object,"Twelve bodies have unique source matches in every comparable build; four additional functions carry Wizardry modifications"
vobject,sgp/vobject.c,partial,all-emitted,32,16,16,0,runtime-object,"Sixteen video-object manager bodies have unique source matches in every comparable build"
vobject_blitters,sgp/vobject_blitters.c,partial,all-emitted,105,20,20,0,runtime-object,"Twenty low-level blitters have unique source matches in every comparable build; generic and stripped variants remain unclaimed"
vsurface,sgp/vsurface.c,partial,all-emitted,56,22,22,0,runtime-object,"Twenty-two video-surface manager bodies have unique source matches, including LockVideoSurface and UnLockVideoSurface; two buffer helpers remain unaccepted near matches"
reginst,sgp/RegInst.c,partial,selected-retained,1,1,1,0,direct-object,"InitializeRegistryKeys is retained from the released unit; unrelated registry accessors are excluded from the no-ref image"
memman,sgp/MemMan.c,partial,all-emitted,8,3,3,0,runtime-object,"InitializeMemoryManager and MemGetFree have unique source matches in every comparable build; shutdown order and fMemManagerInit ownership resolve the generic ShutdownMemoryManager body"
buttons,sgp/Button System.c,partial,all-emitted,96,40,40,0,runtime-object,"Forty button-system bodies have unique source matches in every comparable build; the remainder are stripped, generic, or unresolved"
himage,sgp/himage.c,partial,all-emitted,23,13,13,0,runtime-object,"Thirteen image-manager bodies have unique source matches in every comparable build"
stci,sgp/STCI.c,partial,all-emitted,5,3,3,0,runtime-object,"LoadSTCIFileToImage, STCILoadIndexed and STCILoadRGB have unique source matches in every comparable build"
pcx,sgp/PCX.C,partial,all-emitted,4,3,3,0,runtime-object,"Three PCX loader bodies have unique source matches in every comparable build"
imptga,sgp/impTGA.c,partial,all-emitted,5,2,2,0,runtime-object,"LoadTGAFileToImage and ReadUncompRGBImage have unique source matches in every comparable build"
english,sgp/English.c,empty,all-emitted,0,0,0,0,runtime-object,"The retail-profile translation unit emits no external text functions"
line,sgp/line.c,partial,all-emitted,13,3,3,0,runtime-object,"Clip2D, LineDraw and SetClippingRegionAndImageWidth have unique source matches in every comparable build"
shading,sgp/shading.c,partial,all-emitted,6,2,2,0,runtime-object,"BuildShadeTable and SetShadeTablePercent have unique source matches in every comparable build"
directx_common,sgp/DirectX Common.c,partial,all-emitted,3,1,1,0,runtime-object,"DirectXZeroMem is exact in every comparable build; the remaining helpers are stripped or generic"
