program,class_name,confidence,primary_vtable_id,constructor,destructor,scalar_deleting_destructor,base_classes,base_name_origin,source_path,evidence
wiz8,W8WorldItemOwner,strong,,,,,,,,The byte-exact SetItemAndEntityFlags body follows W8WorldItem owner at +0x04 then this object's entity pointer at +0x14; SaveItemFile independently follows the same chain
wiz8,W8WorldEntity,strong,,,,,,,,SetItemAndEntityFlags calls the entity flag updater and SaveItemFile reads its +0x90 flag word through the same typed owner chain; the position at +0x04 is separately read by the save path
wiz8,Controls,strong,Controls.primary,004f2c30,004f2d30,,,,Local Code\Controls.cpp,The constructors and exact destructor identify vtable 0x005ed5a4 and a complete typed W8ControlsVector005ED5B0 subobject at +0x38; m_uiRegionSetId at +0x48 is named by the canonical assertion and byte-proven by EnableRegionSet
wiz8,W8ControlsRect,strong,,,,,,,Local Code\Controls.cpp,"Invalidate reads four consecutive signed dwords from its rectangle argument and applies them as left, top, right and bottom bounds"
wiz8,W8TextBuffer005ED5B8,strong,,004f3310,004f3480,004f3370,,,Local Code\Controls.cpp,"The constructors install vtable 0x005ed5b8 and initialize the complete 0x50-byte object; typed mutation, alignment and rendering methods prove both rectangles, the owned wide string, layout flags, line metrics, render mode, dirty state, alternate-renderer flag and font-state index"
wiz8,W8TextControl005ED604,strong,W8TextControl005ED604.primary,004f4250,004f6640,004f6030,W8WidgetBase005ED5BC (ctor 004f3dd0; 0x34 bytes),address-qualified-positional,Local Code\Controls.cpp,The 20-slot text-control family embeds a complete W8TextBuffer005ED5B8 at +0x60. Bounds methods update that typed subobject; activation methods prove four typed callbacks in inherited storage and a listener pointer at +0xb4 whose first two virtual slots receive this
wiz8,W8HelpTextControl005ED758,strong,,004f65e0,,,W8TextControl005ED604 (ctor 004f4250; 0xb8 bytes),address-qualified-positional,Local Code\Controls.cpp,The constructor installs vtable 0x005ed758 over a W8TextControl base and clears a fixed wchar_t buffer at +0xb8; byte-exact SetRegionHelp bounds copies to 199 characters and UpdateRegionHelp consumes that same buffer
wiz8,W8VerticalRangeThumb005ED6B4,strong,,,,,W8WidgetBase005ED5BC (0x34 bytes),address-qualified-descriptive,Local Code\Controls.cpp,The 0x005ed6b4 constructor and complete interaction family prove a vertical draggable range thumb whose normalized float position maps through vertical travel +0x54 into pixel Y +0x4c and synchronizes its typed integer controller at +0x6c
wiz8,W8RangeControl005ED74C,strong,Controls.range,004f61f0,004f63c0,,Controls (ctor 004f2ca0; 0x4c bytes),descriptive,Local Code\Controls.cpp,The complete constructor owns two W8RangeButton005ED6FC children and one W8VerticalRangeThumb005ED6B4; the byte-exact destructor deletes those three children in order before the typed Controls base releases its embedded vector
wiz8,W8RangeButton005ED6FC,strong,,,,,W8TextControl005ED604 (ctor 004f4250; 0xb8 bytes),address-qualified-positional,Local Code\Controls.cpp,Two complete inline constructions in 004f61f0 install vtable 0x005ed6fc after the typed text-control base and independently store the direction word at +0xb8 and owning range pointer at +0xbc
wiz8,GrCycle,strong,GrCycle.primary,004a5e50,004a6610,004a5f00,unnamed +0x0 base (ctor 004b6900; 0x18 bytes); unnamed +0x18 base (ctor 00451ec0; 0x190 bytes),address-qualified-positional,Engine Code\GrCycle.cpp,"Primary slots 4 and 11 directly reference the exact source path; constructor and destructor prove bases at +0x0 and +0x18 and derived storage beginning at +0x1a8; the secondary vtable has five slots because 0x005ececc is separately installed into an embedded container by the copy constructor; primary slot 9 is byte-proven at vtable offset 0x24 by SetBehaviour; primary slots 5-9, 12, 13 and 15 all thunk to _purecall, so GrCycle is an abstract base with eight pure virtuals; the exact 0x004A8530 body types the owned vector pointer at +0x1b0"
wiz8,W8GrCycleTarget,strong,,,,,,,Engine Code\GrCycle.cpp,"The exact SetSubCycle and SetBehaviour methods both obtain this representation from GrCycle primary slot 9; they independently prove the byte at +0x64 and signed byte at +0x70. The descriptive target name claims only that shared receiver role, not an original class identity"
wiz8,Item,strong,,,,,,,Engine Code\Item.cpp,m_pRep at 0x14 and the chained ItemRep::m_psrMesh at 0x64 are both named by the canonical assertion m_pRep->m_psrMesh at line 614 and proven together by a seven-byte getter; ItemRep is a distinct type reached only through this member
