address,size,current_name,provisional_name,owner,confidence,name_origin,authority,evidence
00415820,20,not-defined,ZAlloc,sgp-compression,exact,sgp-source,source-backed,Name and body recovered from pinned SGP Compression.c; relocation-masked VC6 SP5 body is exact
00415840,13,not-defined,ZFree,sgp-compression,exact,sgp-source,source-backed,Name and body recovered from pinned SGP Compression.c; relocation-masked VC6 SP5 body is exact
00415850,92,FUN_00415850,DecompressInit,sgp-compression,exact,sgp-source,source-backed,Name and body recovered from pinned SGP Compression.c; relocation-masked VC6 SP5 body is exact
004158b0,52,FUN_004158b0,Decompress,sgp-compression,exact,sgp-source,source-backed,Name and body recovered from pinned SGP Compression.c; relocation-masked VC6 SP5 body is exact
004158f0,23,FUN_004158f0,DecompressFini,sgp-compression,exact,sgp-source,source-backed,Name and body recovered from pinned SGP Compression.c; relocation-masked VC6 SP5 body is exact
00415910,77,FUN_00415910,inflateReset,zlib-1.0.4,high,original-source,source-backed,State writes and inflate_blocks_reset call match inflate.c exactly
00415960,85,FUN_00415960,inflateEnd,zlib-1.0.4,high,original-source,source-backed,Frees the block state and inflate state through the configured allocator
004159c0,263,FUN_004159c0,inflateInit2_,zlib-1.0.4,high,original-source,source-backed,Checks version 1.0.4 and z_stream size then allocates the inflate state and block window
00415ad0,26,FUN_00415ad0,inflateInit_,zlib-1.0.4,high,original-source,source-backed,Exact wrapper call to inflateInit2_ with MAX_WBITS 15
00415af0,987,FUN_00415af0,inflate,zlib-1.0.4,high,original-source,source-backed,Unique inflate state machine and exact 1.0.4 error strings
00415f10,76,not-defined,flush_pending,zlib-1.0.4,high,original-source,source-backed,Patched-build boundary plus exact pending-buffer copy semantics from deflate.c
00415f60,265,not-defined,deflate_stored,zlib-1.0.4,high,original-source,source-backed,Patched-build boundary plus exact stored-block loop and _tr_flush_block calls
00416070,267,not-defined,fill_window,zlib-1.0.4,high,original-source,source-backed,Patched-build boundary plus window slide and hash-chain maintenance from deflate.c
00416180,99,not-defined,read_buf,zlib-1.0.4,high,original-source,source-backed,Patched-build boundary plus input copy and optional Adler update
004161f0,595,not-defined,deflate_fast,zlib-1.0.4,high,original-source,source-backed,Patched-build boundary plus fast match/tally loop and deflate helper call graph
00416450,363,not-defined,longest_match,zlib-1.0.4,high,original-source,source-backed,Patched-build boundary plus exact hash-chain match search
004165c0,752,not-defined,deflate_slow,zlib-1.0.4,high,original-source,source-backed,Patched-build boundary plus lazy match/tally loop and deflate helper call graph
004168b0,144,FUN_004168b0,inflate_blocks_reset,zlib-1.0.4,high,original-source,source-backed,Resets block mode bit buffer window cursors and checksum exactly as infblock.c
00416940,106,FUN_00416940,inflate_blocks_new,zlib-1.0.4,high,original-source,source-backed,Allocates the 0x3c-byte block state and caller-sized window then resets it
