address,symbol,source_path,attribution,interval_lower,interval_upper,bounds,evidence
0040efa0,GetRandomNumber,,gap,,0041aa40,exclusive,outside every assertion-bounded interval; between start of .text and Engine Code\GameData.cpp
00421680,VectorFromThreeFloats,,gap,0041f1f0,00424040,exclusive,outside every assertion-bounded interval; between Engine Code\GameData.cpp and Engine Code\Video2.cpp
0042b410,GetLocationIDFromCode,,gap,0042b020,0042bc10,exclusive,outside every assertion-bounded interval; between Engine Code\Levels.cpp and Engine Code\Octree.cpp
0042b500,LevelGetLocationCodeByID,,gap,0042b020,0042bc10,exclusive,outside every assertion-bounded interval; between Engine Code\Levels.cpp and Engine Code\Octree.cpp
0042b550,LevelGetFolderNameByID,,gap,0042b020,0042bc10,exclusive,outside every assertion-bounded interval; between Engine Code\Levels.cpp and Engine Code\Octree.cpp
0042b580,GetLoadedLevelID,,gap,0042b020,0042bc10,exclusive,outside every assertion-bounded interval; between Engine Code\Levels.cpp and Engine Code\Octree.cpp
0042e440,Octree::AddLoadedProp,Engine Code\Octree.cpp,direct,0042bc10,00430a70,inclusive,the function itself contains an assertion naming this source path
0042e4c0,Octree::AddLoadedParticle,Engine Code\Octree.cpp,direct,0042bc10,00430a70,inclusive,the function itself contains an assertion naming this source path
00444170,GetLocationVarIDByName,Engine Code\Trigger.cpp,inferred,0043be60,00445200,inclusive,function start lies inside this unit's assertion-bounded interval
00446110,Copy3DVector,,gap,00445200,00446250,exclusive,outside every assertion-bounded interval; between Engine Code\Trigger.cpp and Engine Code\OctBuildTree.cpp
00451280,GetWorld,,gap,004511d0,00453690,exclusive,outside every assertion-bounded interval; between Engine Code\3dapi.cpp and Engine Code\Navigator.cpp
0046ded0,WorldUpdateProps,Engine Code\3d.cpp,direct,0046dc90,0046e8a0,inclusive,the function itself contains an assertion naming this source path
0047d5c0,VirtualFileBinIStream::Read,,gap,0047b500,00480920,exclusive,outside every assertion-bounded interval; between Engine Code\Quality.cpp and Engine Code\stModelInstance.cpp
0048bdc0,FindMonGenByName,Engine Code\MonGen.cpp,inferred,0048a7a0,0048c110,inclusive,function start lies inside this unit's assertion-bounded interval
0049fb20,Item::GetMesh,,gap,0049faa0,004a01a0,exclusive,outside every assertion-bounded interval; between Engine Code\Item.cpp and Engine Code\AnimObj.cpp
004a8460,GrCycle::SetBehaviour,Engine Code\GrCycle.cpp,direct,004a5f20,004a89a0,inclusive,the function itself contains an assertion naming this source path
004ac9d0,GetSpellTargetType,Engine Code\Spells.cpp,inferred,004aab80,004adb20,inclusive,function start lies inside this unit's assertion-bounded interval
004aca60,CanSpellBackfire,Engine Code\Spells.cpp,inferred,004aab80,004adb20,inclusive,function start lies inside this unit's assertion-bounded interval
004acb40,MinimumCasterLevelForSpellLevel,Engine Code\Spells.cpp,inferred,004aab80,004adb20,inclusive,function start lies inside this unit's assertion-bounded interval
004acba0,GetMinimumCasterLevelForSpell,Engine Code\Spells.cpp,direct,004aab80,004adb20,inclusive,the function itself contains an assertion naming this source path
004bfab0,Monster::GetNumSubsPerCycle,Engine Code\Monster.cpp,direct,004bf0f0,004c9dc0,inclusive,the function itself contains an assertion naming this source path
004e5550,MonsterGetIndexByLocationID,Local Code\MonsterManager.cpp,inferred,004e3af0,004e6370,inclusive,function start lies inside this unit's assertion-bounded interval
004e5620,MonsterGetScriptPartByLocationIndex,Local Code\MonsterManager.cpp,inferred,004e3af0,004e6370,inclusive,function start lies inside this unit's assertion-bounded interval
004e57c0,GetMonsterDataByID,Local Code\MonsterManager.cpp,direct,004e3af0,004e6370,inclusive,the function itself contains an assertion naming this source path
