address,size,symbol,owner,confidence,relocation_masked_sha256,evidence
00421680,25,VectorFromThreeFloats,wiz8-vector-math,exact,8c7237c51fbcb1cbc3cd5e637a53cd257c04edf6f47958caf465882cf3af655f,VC6 SP5 O2 G6 MD thiscall method is byte-exact and proves three scalar double inputs float output and this return
00517970,53,RollDice,wiz8-gameplay-database,exact,9e88bdc5744063e0d522ea20c95810352faed566df73a58552566ce96017ab63,VC6 SP5 O2 G6 MD body matches after masking the one external-call relocation
005179b0,24,IntegerPower,wiz8-gameplay-database,exact,4454e70e52316ed73ef32bf813e14e16145c25fa3f402079afd9de08ecc375e8,VC6 SP5 O2 G6 MD body is byte-exact
005179d0,25,ClampInteger,wiz8-engine-code,exact,13755985809557446cbd5b7e269ef859eeb4fbaab4313ec284ad3d8232cf7b17,VC6 SP5 O2 G6 MD body is byte-exact
004ac9d0,47,GetSpellTargetType,wiz8-spell-system,exact,c801093b8ae5b3030e9db8e3d0fd1e4e6ad874ba8ea20eb0882f8802bce55dc5,VC6 SP5 O2 G6 MD body matches after masking the spell-record global relocation
004aca60,102,CanSpellBackfire,wiz8-spell-system,structurally-strong,,Typed switch semantics and control-flow cases agree; candidate retains a separate true-return block and is not byte-exact
004acb40,61,MinimumCasterLevelForSpellLevel,wiz8-spell-system,exact,649880237ae6e55d4df2f0ccfcc79f459e41a6bdb57711253ae74e907fa35228,VC6 SP5 O2 G6 MD switch body and local jump-table relocations match exactly
004acba0,85,GetMinimumCasterLevelForSpell,wiz8-spell-system,exact,bb490ccad29b8f851d5c0f3e8ee00b2c3cc7f778aa3f671f2a620e4974094758,VC6 SP5 O2 G6 MD body matches after masking the spell-record and local jump-table relocations
00535ad0,100,GetFactionDisposition,wiz8-factions,exact,8166d9a0a4cfcb3ed073f966e33115d60f4512f670bcb6785a5300e114a113f4,VC6 SP5 O2 G6 MD body matches after masking imported assertion strings and faction-table relocations
00517ea0,26,StripMonsterNameSuffix,wiz8-gameplay-database,exact,fcc9db3bf744139df99cc283507aff3d58c1deb75cf8bedbb4a3beef5e5698cf,VC6 SP5 O2 G6 MD body matches after masking the imported wcschr relocation
00517ec0,105,CharacterPointerToPartySlot,wiz8-character-system,exact,ba51c3d9a068fa8b79e4fbe5fb88e160d773ee10dbbe561891b0a9186aaff725,VC6 SP5 O2 G6 MD body matches after masking assertion formatting global-party and string relocations
004ff3b0,82,GetProfessionCasterLevel,wiz8-character-system,exact,a9d9c20d53f78c3eaf03ef10a24468a2cb2a63254148cefe7bf67ca06526a75e,VC6 SP5 O2 G6 MD body matches after masking assertion profession-table and string relocations
00506280,132,GetFact,wiz8-game-state,exact,bd49cf8863d372e24a72e6ad01c04fd9772d3bb8726df41cf5aa5d1a9870db33,VC6 SP5 O2 G6 MD body matches after masking EvaluateFact logging fact-record and wide-string relocations
005061a0,219,SetFact,wiz8-game-state,exact,929c978d5088d599d032ddca2689f8d01b8adb0526aaa15a3de0621f77f760cf,VC6 SP5 O2 G6 MD body matches after masking state journal side-effect logging record and string relocations
0040efa0,50,GetRandomNumber,wiz8-engine-code,exact,438ef441f48956b35998a4c1aa63c4da1d0a0fc45436883376b4a7bc849897bb,VC6 SP5 O2 G5 MD body matches after masking the imported rand relocation
0042b580,6,GetLoadedLevelID,wiz8-level-system,exact,76811197299fd7215ff45276752d25eaa8889353ee70ada1fd839c8a55d34ffc,VC6 SP5 O2 G6 MD getter matches after masking the loaded-level global relocation
00451280,6,GetWorld,wiz8-world-system,exact,76811197299fd7215ff45276752d25eaa8889353ee70ada1fd839c8a55d34ffc,VC6 SP5 O2 G6 MD getter matches after masking the world-pointer global relocation
0051b9e0,19,GetItemInHand,wiz8-item-system,exact,b9095c14c2ad5c66b33be97c13da5f36816cee38f6b3d5faff013d7909fd2c14,VC6 SP5 O2 G6 MD body matches after masking item-validity and item-record relocations
0042b550,33,LevelGetFolderNameByID,wiz8-level-system,exact,0e02b69da5480ffc3bd971ad5330ef56843d43cae98b4f89dc8c42f212cc25d7,VC6 SP5 O2 G6 MD bounds check and 0x6b table lookup match after masking the level-folder table relocation
00444170,109,GetLocationVarIDByName,wiz8-location-variables,exact,d0e75111187a799a90b2c25b05469b9acd6a91b11984a5582c4bca7f35b800d9,VC6 SP5 O2 G6 MD search matches after masking name level current-level and _stricmp relocations
00446110,25,Copy3DVector,wiz8-vector-math,exact,d2c6b969f7e840e9b66f67645f81ca73443a3440a6172050a5bb642d96fd1f9c,VC6 SP5 O2 G6 MD thiscall method is byte-exact and proves a 24-byte double source 12-byte float destination and this return
0048bdc0,100,FindMonGenByName,wiz8-monster-system,structurally-strong,,Typed vector traversal and 32-byte name comparison agree; current VC6 output differs in invariant-load scheduling and epilogue placement
004f6b90,179,CreateWorldItem,wiz8-item-system,exact,9f728370ebab904577b40d6b5b75d5ce4a963ad1eb8f57f05ddb4eef98280c94,Provisional semantic name; VC6 SP5 O2 G6 MD allocation initialization copy and list-insertion body matches after masking eight call and global relocations
